fitness,lr0,lrf,weight_decay,cls,box,dfl,scale,degrees,shear,fliplr
0.06602,0.00193,0.02504,0.00019,0.5,0.13451,0.50786,0.15,0.0,0.0,0.28893
0.06572,0.00197,0.01943,0.00019,0.50393,0.13596,0.5,0.15,0.0,0.0,0.24902
0.0559,0.00196,0.0165,0.00018,0.55365,0.14473,0.5,0.15,0.0,0.0,0.26015
0.05067,0.00193,0.01962,0.00019,0.56182,0.14855,0.5,0.14849,0.0,0.0,0.25662
0.09308,0.00111,0.02015,0.00018,0.56182,0.16,0.5,0.13012,0.0,0.0,0.33352
0.10739,0.00111,0.02055,0.00019,0.56381,0.16,0.5,0.11111,0.0,0.0,0.3714
0.1062,0.00098,0.02329,0.00017,0.63387,0.16,0.55717,0.15,0.0,0.0,0.35461
0.06484,0.00199,0.0167,0.00022,0.54198,0.14955,0.5,0.15,0.0,0.0,0.25515
0.09961,0.00111,0.02055,0.0002,0.60631,0.14521,0.5,0.11622,0.0,0.0,0.3714
0.09853,0.00117,0.01985,0.00019,0.57648,0.16,0.5,0.11304,0.0,0.0,0.35651
0.10222,0.00097,0.02376,0.00017,0.63781,0.16,0.55875,0.14726,0.0,0.0,0.35837
0.09995,0.00112,0.02081,0.00018,0.52864,0.16,0.5,0.10793,0.0,0.0,0.35434
0.1078,0.00111,0.02055,0.00018,0.54743,0.14544,0.5,0.12599,0.0,0.0,0.32835
0.09624,0.00132,0.02086,0.00016,0.65593,0.13807,0.5,0.15,0.0,0.0,0.33134
0.10701,0.00116,0.015,0.00022,0.54743,0.15292,0.65057,0.15,0.0,0.0,0.24499
0.09541,0.00115,0.015,0.00022,0.54743,0.15376,0.64364,0.15,0.0,0.0,0.24499
0.11207,0.00114,0.02013,0.00018,0.57878,0.16,0.50928,0.10352,0.0,0.0,0.37619
0.1045,0.00113,0.02177,0.00016,0.54712,0.15848,0.5,0.09884,0.0,0.0,0.40366
0.07681,0.00135,0.02504,0.00022,0.5,0.16,0.50928,0.10427,0.0,0.0,0.34703
0.10459,0.00114,0.02129,0.00018,0.57878,0.15702,0.51147,0.10352,0.0,0.0,0.38542
0.08789,0.00109,0.02013,0.0002,0.60007,0.16,0.54565,0.08878,0.0,0.0,0.5
0.10283,0.00109,0.02064,0.00017,0.55143,0.16,0.50928,0.10143,0.0,0.0,0.35226
0.10465,0.00121,0.02158,0.00016,0.56883,0.16,0.50407,0.12599,0.0,0.0,0.34273
0.08739,0.00114,0.02243,0.00016,0.5394,0.15775,0.5,0.10602,0.0,0.0,0.37768
0.09372,0.00119,0.02055,0.00018,0.61909,0.14544,0.5,0.12205,0.0,0.0,0.34052
0.08681,0.00116,0.02337,0.00018,0.54743,0.13154,0.65259,0.12194,0.0,0.0,0.36454
0.10513,0.00113,0.02086,0.00017,0.56027,0.16,0.51287,0.10501,0.0,0.0,0.37967
0.09788,0.00114,0.01812,0.0002,0.57878,0.15738,0.51276,0.08405,0.0,0.0,0.3465
0.11028,0.00108,0.0193,0.00018,0.58785,0.13598,0.5,0.12088,0.0,0.0,0.3402
0.10211,0.00113,0.0193,0.00017,0.57924,0.12529,0.53499,0.12573,0.0,0.0,0.3402
0.08833,0.00118,0.01974,0.00018,0.54743,0.15027,0.51185,0.12662,0.0,0.0,0.32873
0.1073,0.00114,0.0202,0.00018,0.57878,0.16,0.50717,0.10449,0.0,0.0,0.37499
0.11677,0.0013,0.02004,0.00022,0.57878,0.16,0.65188,0.12492,0.0,0.0,0.42272
0.09407,0.00108,0.02136,0.00018,0.58785,0.08955,0.67063,0.12686,0.0,0.0,0.28712
0.09162,0.00112,0.01713,0.00017,0.64269,0.13598,0.5,0.11638,0.0,0.0,0.39528
0.09144,0.00124,0.02077,0.00018,0.5,0.14265,0.5,0.10352,0.0,0.0,0.28076
0.10311,0.00114,0.01932,0.00017,0.57878,0.16,0.5,0.09881,0.0,0.0,0.37619
0.09276,0.00127,0.02004,0.00022,0.58832,0.15816,0.64911,0.12492,0.0,0.0,0.42015
0.12031,0.00107,0.01918,0.0002,0.58008,0.13598,0.5,0.10969,0.0,0.0,0.36071
0.09947,0.0012,0.01982,0.00023,0.57878,0.15505,0.6264,0.15,0.0,0.0,0.37791
0.10173,0.00114,0.02231,0.00019,0.58008,0.13598,0.5,0.12261,0.0,0.0,0.36056
0.09605,0.00127,0.01783,0.00022,0.58596,0.15962,0.61923,0.123,0.0,0.0,0.4397
0.0918,0.00134,0.02004,0.00022,0.57445,0.16,0.6865,0.11902,0.0,0.0,0.41063
0.10765,0.00131,0.02004,0.00021,0.57878,0.15926,0.66626,0.12492,0.0,0.0,0.42272
0.06933,0.00156,0.0194,0.00022,0.66893,0.14331,0.80151,0.11544,0.0,0.0,0.44826
0.091,0.00107,0.01918,0.0002,0.58008,0.13731,0.5,0.11563,0.0,0.0,0.37549
0.09104,0.0013,0.02143,0.00018,0.57878,0.16,0.68027,0.13348,0.0,0.0,0.42272
0.10191,0.00121,0.015,0.00019,0.63165,0.13556,0.66545,0.10091,0.0,0.0,0.47011
0.12376,0.00101,0.01714,0.0002,0.58008,0.12604,0.51189,0.11115,0.0,0.0,0.35416
0.09243,0.001,0.01768,0.00019,0.55101,0.11422,0.5,0.11046,0.0,0.0,0.35416
0.08246,0.00114,0.01561,0.0002,0.58008,0.13875,0.5,0.11494,0.0,0.0,0.38448
0.10246,0.00104,0.01513,0.00017,0.53479,0.12615,0.5087,0.10273,0.0,0.0,0.3651
0.11778,0.00101,0.01667,0.0002,0.56104,0.12245,0.5242,0.1121,0.0,0.0,0.35593
0.10047,0.00107,0.02628,0.00019,0.52891,0.13598,0.5,0.07288,0.0,0.0,0.38384
0.10107,0.00114,0.02023,0.00024,0.59225,0.16,0.51189,0.12555,0.0,0.0,0.30939
0.10748,0.00105,0.01914,0.0002,0.58546,0.13598,0.5,0.10878,0.0,0.0,0.35706
0.11374,0.00084,0.01648,0.0002,0.54596,0.14509,0.56072,0.12682,0.0,0.0,0.35822
0.10587,0.00102,0.01705,0.00022,0.63348,0.10159,0.5,0.11571,0.0,0.0,0.3073
0.09508,0.00097,0.02004,0.00022,0.5482,0.15846,0.53183,0.11914,0.0,0.0,0.43297
0.11214,0.0011,0.02015,0.00026,0.53144,0.16,0.5,0.09493,0.0,0.0,0.43854
0.09284,0.00109,0.01667,0.00022,0.56104,0.09713,0.5242,0.11366,0.0,0.0,0.33043
0.09337,0.00119,0.01577,0.0002,0.59722,0.1091,0.51189,0.1129,0.0,0.0,0.33513
0.09973,0.00101,0.01921,0.00018,0.53297,0.09273,0.5,0.09558,0.0,0.0,0.44899
0.10038,0.00106,0.01852,0.0002,0.55627,0.13136,0.50226,0.10571,0.0,0.0,0.37672
0.10815,0.0013,0.01902,0.00018,0.68426,0.16,0.70363,0.11223,0.0,0.0,0.29178
0.084,0.00139,0.0207,0.00022,0.52401,0.15666,0.65188,0.12424,0.0,0.0,0.42272
0.12034,0.00099,0.01849,0.0002,0.58008,0.12663,0.5,0.10709,0.0,0.0,0.35643
0.09443,0.001,0.01983,0.00023,0.77095,0.14409,0.5,0.10001,0.0,0.0,0.36008
0.11437,0.0009,0.01838,0.00019,0.5246,0.12663,0.5,0.07812,0.0,0.0,0.31471
0.09829,0.00107,0.01849,0.00014,0.59952,0.14019,0.51644,0.10709,0.0,0.0,0.35271
0.10282,0.001,0.01704,0.0002,0.57582,0.12932,0.51189,0.10944,0.0,0.0,0.3527
0.11427,0.00077,0.01918,0.0002,0.5,0.13598,0.5,0.1199,0.0,0.0,0.40481
0.10525,0.00099,0.01849,0.00016,0.5,0.16,0.51163,0.09845,0.0,0.0,0.35019
0.09854,0.00104,0.01537,0.0002,0.54793,0.1186,0.50017,0.11901,0.0,0.0,0.33986
0.12561,0.00096,0.015,0.0002,0.5,0.1297,0.54969,0.08608,0.0,0.0,0.23163
0.12901,0.00097,0.01808,0.00018,0.60635,0.11442,0.54547,0.0992,0.0,0.0,0.32722
